NAME           IMAGE                              COMMAND                  SERVICE      CREATED       STATUS                 PORTS
kafka          confluentinc/cp-kafka:7.4.0        "/etc/confluent/dockΓÇª"   kafka        9 hours ago   Up 9 hours             0.0.0.0:9092->9092/tcp
loadbalancer   nginx:alpine                       "/docker-entrypoint.ΓÇª"   lb           9 hours ago   Up 9 hours             80/tcp, 0.0.0.0:8080->8080/tcp
node1          distributed-payment-system-node1   "/__cacert_entrypoinΓÇª"   node1        9 hours ago   Up 4 minutes           0.0.0.0:8081->8081/tcp
node2          distributed-payment-system-node2   "/__cacert_entrypoinΓÇª"   node2        9 hours ago   Up 9 hours             0.0.0.0:8082->8082/tcp
node3          distributed-payment-system-node3   "/__cacert_entrypoinΓÇª"   node3        9 hours ago   Up 9 hours             0.0.0.0:8083->8083/tcp
node4          distributed-payment-system-node4   "/__cacert_entrypoinΓÇª"   node4        9 hours ago   Up 9 hours             0.0.0.0:8084->8084/tcp
node5          distributed-payment-system-node5   "/__cacert_entrypoinΓÇª"   node5        9 hours ago   Up 9 hours             0.0.0.0:8085->8085/tcp
zookeeper1     zookeeper:3.8                      "/docker-entrypoint.ΓÇª"   zookeeper1   9 hours ago   Up 9 hours (healthy)   2888/tcp, 3888/tcp, 0.0.0.0:2181->2181/tcp, 8080/tcp
zookeeper2     zookeeper:3.8                      "/docker-entrypoint.ΓÇª"   zookeeper2   9 hours ago   Up 9 hours (healthy)   2888/tcp, 3888/tcp, 8080/tcp, 0.0.0.0:2182->2181/tcp
zookeeper3     zookeeper:3.8                      "/docker-entrypoint.ΓÇª"   zookeeper3   9 hours ago   Up 9 hours (healthy)   2888/tcp, 3888/tcp, 8080/tcp, 0.0.0.0:2183->2181/tcp
